"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"India","2001","Total","Both Sexes","Avadi","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","229403","1"
"India","2001","Total","Both Sexes","Bahadurgarh","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","119846","1"
"India","2001","Total","Both Sexes","Bahadurgarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","131925","1"
"India","2001","Total","Both Sexes","Baharampur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","160143","1"
"India","2001","Total","Both Sexes","Baharampur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","170322","1"
"India","2001","Total","Both Sexes","Bahraich","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","168323","1"
"India","2001","Total","Both Sexes","Baidyabati","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","108229","1"
"India","2001","Total","Both Sexes","Baleshwar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","106082","1"
"India","2001","Total","Both Sexes","Baleshwar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","156430","1"
"India","2001","Total","Both Sexes","Ballia","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","101465","1"
"India","2001","Total","Both Sexes","Bally","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","260906","1"
"India","2001","Total","Both Sexes","Balurghat","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","135737","1"
"India","2001","Total","Both Sexes","Balurghat","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","143321","1"
"India","2001","Total","Both Sexes","Banda","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","134839","1"
"India","2001","Total","Both Sexes","Banda","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","139436","1"
"India","2001","Total","Both Sexes","Bangalore","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","4301326","1"
"India","2001","Total","Both Sexes","Bangalore","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","5701446","1"
"India","2001","Total","Both Sexes","Bangaon","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","102163","1"
"India","2001","Total","Both Sexes","Bankura","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","128781","1"
"India","2001","Total","Both Sexes","Bansberia","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","104412","1"
"India","2001","Total","Both Sexes","Baranagar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","250768","1"
"India","2001","Total","Both Sexes","Barasat","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","231521","1"
"India","2001","Total","Both Sexes","Barddhaman","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","285602","1"
"India","2001","Total","Both Sexes","Bareilly","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","718395","1"
"India","2001","Total","Both Sexes","Bareilly","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","748353","1"
"India","2001","Total","Both Sexes","Baripada","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","100651","1"
"India","2001","Total","Both Sexes","Barrackpur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","144391","1"
"India","2001","Total","Both Sexes","Barshi","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","104785","1"
"India","2001","Total","Both Sexes","Basirhat","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","113159","1"
"India","2001","Total","Both Sexes","Basti","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","107601","1"
"India","2001","Total","Both Sexes","Batala","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","125677","1"
"India","2001","Total","Both Sexes","Batala","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","147872","1"
"India","2001","Total","Both Sexes","Bathinda","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","217256","1"
"India","2001","Total","Both Sexes","Beawar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","123759","1"
"India","2001","Total","Both Sexes","Beawar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","125981","1"
"India","2001","Total","Both Sexes","Begusarai","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","107623","1"
"India","2001","Total","Both Sexes","Belgaum","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","399653","1"
"India","2001","Total","Both Sexes","Belgaum","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","506480","1"
"India","2001","Total","Both Sexes","Bellary","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","316766","1"
"India","2001","Total","Both Sexes","Bettiah","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","116670","1"
"India","2001","Total","Both Sexes","Bhadravati","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","160662","1"
"India","2001","Total","Both Sexes","Bhadreswar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","106071","1"
"India","2001","Total","Both Sexes","Bhagalpur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","340767","1"
"India","2001","Total","Both Sexes","Bhagalpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","350133","1"
"India","2001","Total","Both Sexes","Bhalswa Jahangir Pur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","152339","1"
"India","2001","Total","Both Sexes","Bharatpur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","204587","1"
"India","2001","Total","Both Sexes","Bharatpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","205235","1"
"India","2001","Total","Both Sexes","Bharuch","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","148140","1"
"India","2001","Total","Both Sexes","Bharuch","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","176364","1"
"India","2001","Total","Both Sexes","Bhatpara","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","442385","1"
"India","2001","Total","Both Sexes","Bhavani","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","104646","1"
"India","2001","Total","Both Sexes","Bhavnagar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","511085","1"
"India","2001","Total","Both Sexes","Bhavnagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","517708","1"
"India","2001","Total","Both Sexes","Bheemavaram","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","137409","1"
"India","2001","Total","Both Sexes","Bheemavaram","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","142064","1"
"India","2001","Total","Both Sexes","Bhilai Nagar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","556366","1"
"India","2001","Total","Both Sexes","Bhilwara","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","280128","1"
"India","2001","Total","Both Sexes","Bhind","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","153752","1"
"India","2001","Total","Both Sexes","Bhiwandi","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","598741","1"
"India","2001","Total","Both Sexes","Bhiwandi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","621427","1"
"India","2001","Total","Both Sexes","Bhiwani","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","169531","1"
"India","2001","Total","Both Sexes","Bhopal","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","1437354","1"
"India","2001","Total","Both Sexes","Bhopal","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","1458416","1"
"India","2001","Total","Both Sexes","Bhubaneswar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","648032","1"
"India","2001","Total","Both Sexes","Bhubaneswar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","658220","1"
"India","2001","Total","Both Sexes","Bhuj","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","136429","1"
"India","2001","Total","Both Sexes","Bhusawal","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","172372","1"
"India","2001","Total","Both Sexes","Bhusawal","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","187564","1"
"India","2001","Total","Both Sexes","Bid","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","138196","1"
"India","2001","Total","Both Sexes","Bidar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","172877","1"
"India","2001","Total","Both Sexes","Bidar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","174257","1"
"India","2001","Total","Both Sexes","Bidhan Nagar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","164221","1"
"India","2001","Total","Both Sexes","Bihar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","232071","1"
"India","2001","Total","Both Sexes","Bijapur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","228175","1"
"India","2001","Total","Both Sexes","Bijapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","253891","1"
"India","2001","Total","Both Sexes","Bikaner","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","529690","1"
"India","2001","Total","Both Sexes","Bilaspur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","275694","1"
"India","2001","Total","Both Sexes","Bilaspur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","335293","1"
"India","2001","Total","Both Sexes","Birnagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","115127","1"
"India","2001","Total","Both Sexes","Bokaro Steel City","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","393805","1"
"India","2001","Total","Both Sexes","Bokaro Steel City","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","497780","1"
"India","2001","Total","Both Sexes","Bommanahalli","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","201652","1"
"India","2001","Total","Both Sexes","Botad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","100194","1"
"India","2001","Total","Both Sexes","Brahmapur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","307792","1"
"India","2001","Total","Both Sexes","Budaun","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","148029","1"
"India","2001","Total","Both Sexes","Bulandshahr","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","176425","1"
"India","2001","Total","Both Sexes","Burhanpur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","193725","1"
"India","2001","Total","Both Sexes","Byatarayanapura","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","181744","1"
"India","2001","Total","Both Sexes","Chakdaha","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","101320","1"
"India","2001","Total","Both Sexes","Champdani","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","103246","1"
"India","2001","Total","Both Sexes","Chandan Nagar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","162187","1"
"India","2001","Total","Both Sexes","Chandausi","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","103749","1"
"India","2001","Total","Both Sexes","Chandigarh","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","808515","1"
"India","2001","Total","Both Sexes","Chandrapur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","289450","1"
"India","2001","Total","Both Sexes","Chapra","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","179190","1"
"India","2001","Total","Both Sexes","Chennai (Madras)","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","4343645","1"
"India","2001","Total","Both Sexes","Chennai (Madras)","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","6560242","1"
"India","2001","Total","Both Sexes","Cherthala","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","141558","1"
"India","2001","Total","Both Sexes","Chhatarpur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","109078","1"
"India","2001","Total","Both Sexes","Chhindwara","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","122247","1"
"India","2001","Total","Both Sexes","Chhindwara","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","153552","1"
"India","2001","Total","Both Sexes","Chikmagalur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","101251","1"
"India","2001","Total","Both Sexes","Chirala","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","166294","1"
"India","2001","Total","Both Sexes","Chirkunda","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","106227","1"
"India","2001","Total","Both Sexes","Chitradurga","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","122702","1"
"India","2001","Total","Both Sexes","Chitradurga","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","125170","1"
"India","2001","Total","Both Sexes","Chittoor","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","152654","1"
"India","2001","Total","Both Sexes","Churu","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","101874","1"
"India","2001","Total","Both Sexes","Coimbatore","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","930882","1"
"India","2001","Total","Both Sexes","Coimbatore","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","1461139","1"
"India","2001","Total","Both Sexes","Coonoor","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","101490","1"
"India","2001","Total","Both Sexes","Cuddalore","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","158634","1"
"India","2001","Total","Both Sexes","Cuddapah","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","126505","1"
"India","2001","Total","Both Sexes","Cuddapah","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","262506","1"
"India","2001","Total","Both Sexes","Cuttack","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","534654","1"
"India","2001","Total","Both Sexes","Cuttack","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","587182","1"
"India","2001","Total","Both Sexes","Dallo Pura","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","132621","1"
"India","2001","Total","Both Sexes","Damoh","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","112185","1"
"India","2001","Total","Both Sexes","Damoh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","127967","1"
"India","2001","Total","Both Sexes","Darbhanga","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","267348","1"
"India","2001","Total","Both Sexes","Darjiling","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","107197","1"
"India","2001","Total","Both Sexes","Darjiling","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","108830","1"
"India","2001","Total","Both Sexes","Dasarahalli","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","264940","1"
"India","2001","Total","Both Sexes","Davangere","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","364523","1"
"India","2001","Total","Both Sexes","Dehradun","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","426674","1"
"India","2001","Total","Both Sexes","Dehradun","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","530263","1"
"India","2001","Total","Both Sexes","Dehri","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","119057","1"
"India","2001","Total","Both Sexes","Delhi","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","9879172","1"
"India","2001","Total","Both Sexes","Delhi","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","12877470","1,2"
"India","2001","Total","Both Sexes","Delhi Cantonment","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","124917","1"
"India","2001","Total","Both Sexes","Deoghar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","112525","1"
"India","2001","Total","Both Sexes","Deoli","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","119468","1"
"India","2001","Total","Both Sexes","Deoria","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","104227","1"
"India","2001","Total","Both Sexes","Dewas","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","231672","1"
"India","2001","Total","Both Sexes","Dhanbad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","199258","1"
"India","2001","Total","Both Sexes","Dhanbad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","1065327","1"
"India","2001","Total","Both Sexes","Dharmavaram","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","103357","1"
"India","2001","Total","Both Sexes","Dhule","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","341755","1"
"India","2001","Total","Both Sexes","Dibrugarh","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","121893","1"
"India","2001","Total","Both Sexes","Dibrugarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","137661","1"
"India","2001","Total","Both Sexes","Dinapur Nizamat","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","131176","1"
"India","2001","Total","Both Sexes","Dindigul","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","196955","1"
"India","2001","Total","Both Sexes","Dohad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","112026","1"
"India","2001","Total","Both Sexes","Dumdum","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","101296","1"
"India","2001","Total","Both Sexes","Durg","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","232517","1"
"India","2001","Total","Both Sexes","Durgapur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","493405","1"
"India","2001","Total","Both Sexes","Durg-Bhilai Nagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","927864","1"
"India","2001","Total","Both Sexes","Eluru","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","190062","1"
"India","2001","Total","Both Sexes","Eluru","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","215804","1"
"India","2001","Total","Both Sexes","English Bazar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","161456","1"
"India","2001","Total","Both Sexes","English Bazar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","224415","1"
"India","2001","Total","Both Sexes","Erode","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","150541","1"
"India","2001","Total","Both Sexes","Erode","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","389906","1"
"India","2001","Total","Both Sexes","Etah","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","107110","1"
"India","2001","Total","Both Sexes","Etawah","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","210453","1"
"India","2001","Total","Both Sexes","Faizabad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","144705","1"
"India","2001","Total","Both Sexes","Faizabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","208162","1"
"India","2001","Total","Both Sexes","Faridabad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","1055938","1"
"India","2001","Total","Both Sexes","Farrukhabad-cum-Fategarh","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","228333","1"
"India","2001","Total","Both Sexes","Farrukhabad-cum-Fategarh","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","242997","1"
"India","2001","Total","Both Sexes","Fatehpur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","152078","1"
"India","2001","Total","Both Sexes","Firozabad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","279102","1"
"India","2001","Total","Both Sexes","Firozabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","432866","1"
"India","2001","Total","Both Sexes","Gadag-Betgeri","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","154982","1"
"India","2001","Total","Both Sexes","Gajuwaka","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","259180","1"
"India","2001","Total","Both Sexes","Gandhidham","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","151693","1"
"India","2001","Total","Both Sexes","Gandhinagar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","195985","1"
"India","2001","Total","Both Sexes","Ganganagar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","210713","1"
"India","2001","Total","Both Sexes","Ganganagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","222858","1"
"India","2001","Total","Both Sexes","Gangawati","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","101392","1"
"India","2001","Total","Both Sexes","Gaya","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","385432","1"
"India","2001","Total","Both Sexes","Gaya","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","394945","1"
"India","2001","Total","Both Sexes","Ghatlodiya","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","106684","1"
"India","2001","Total","Both Sexes","Ghaziabad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","968256","1"
"India","2001","Total","Both Sexes","Ghazipur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","103298","1"
"India","2001","Total","Both Sexes","Giridih","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","105634","1"
"India","2001","Total","Both Sexes","Godhra","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","121879","1"
"India","2001","Total","Both Sexes","Godhra","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","131172","1"
"India","2001","Total","Both Sexes","Gonda","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","120301","1"
"India","2001","Total","Both Sexes","Gondiya","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","120902","1"
"India","2001","Total","Both Sexes","Gorakhpur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","622701","1"
"India","2001","Total","Both Sexes","Gudivada","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","113054","1"
"India","2001","Total","Both Sexes","Gudiyatham","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","100115","1"
"India","2001","Total","Both Sexes","Gulbarga","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","422569","1"
"India","2001","Total","Both Sexes","Gulbarga","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","430265","1"
"India","2001","Total","Both Sexes","Guna","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","137175","1"
